epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2166.96,2.33373,4.6891,1.97196,0.623,0.49117,0.5202,0.23185,1.89599,2.46108,1.58293,0.00700087,0.000333237,0.000333237
2,4369.09,1.82997,2.20371,1.59279,0.7303,0.70889,0.75008,0.3593,1.79062,1.76162,1.51456,0.00398201,0.000647716,0.000647716
3,6600.6,1.73852,1.66163,1.52935,0.77743,0.77147,0.82534,0.41464,1.68826,1.31412,1.45104,0.000944299,0.000943338,0.000943338
4,8765.68,1.66751,1.42163,1.47189,0.79243,0.81901,0.85187,0.44004,1.69749,1.10936,1.43664,0.000915143,0.000915143,0.000915143
5,10924.5,1.6314,1.22617,1.41359,0.78726,0.82232,0.85729,0.46299,1.61307,1.08328,1.36373,0.000886857,0.000886857,0.000886857
6,13101.4,1.59577,1.14574,1.38452,0.81573,0.84236,0.89588,0.48545,1.6413,0.91895,1.36874,0.000858571,0.000858571,0.000858571
7,15279,1.56238,1.10525,1.36466,0.83664,0.85175,0.90815,0.48771,1.6417,0.89732,1.371,0.000830286,0.000830286,0.000830286
8,17439.6,1.55626,1.0268,1.35129,0.8501,0.89471,0.92469,0.51381,1.58213,0.82071,1.33525,0.000802,0.000802,0.000802
9,19602.3,1.52917,0.99647,1.33758,0.85907,0.85869,0.91734,0.51543,1.54736,0.82959,1.31715,0.000773714,0.000773714,0.000773714
10,21737,1.52244,0.97637,1.33362,0.84318,0.89646,0.91094,0.51,1.60081,0.79601,1.36117,0.000745429,0.000745429,0.000745429
11,23948.5,1.50603,0.95168,1.32412,0.86468,0.87989,0.92545,0.5383,1.52374,0.7628,1.31333,0.000717143,0.000717143,0.000717143
12,26420.5,1.48864,0.91336,1.31078,0.8495,0.90274,0.92561,0.53987,1.52168,0.75182,1.31852,0.000688857,0.000688857,0.000688857
13,29145.2,1.4823,0.90542,1.30294,0.861,0.91253,0.9343,0.54363,1.53477,0.7469,1.32016,0.000660571,0.000660571,0.000660571
14,31629,1.46333,0.88562,1.29448,0.87029,0.90441,0.9394,0.55503,1.50384,0.7183,1.29451,0.000632286,0.000632286,0.000632286
15,33769.2,1.46322,0.87032,1.29283,0.86572,0.90666,0.9312,0.54836,1.51749,0.72531,1.31606,0.000604,0.000604,0.000604
16,35884.3,1.44968,0.85611,1.28748,0.87408,0.89644,0.93602,0.55787,1.50849,0.71727,1.29723,0.000575714,0.000575714,0.000575714
17,38001.7,1.43353,0.83822,1.2726,0.87231,0.90173,0.93958,0.55938,1.50127,0.71724,1.29569,0.000547429,0.000547429,0.000547429
18,40124.1,1.4327,0.8291,1.27738,0.88129,0.88846,0.94259,0.56966,1.48748,0.70226,1.29067,0.000519143,0.000519143,0.000519143
19,42240.1,1.41191,0.83123,1.26667,0.87988,0.90591,0.94227,0.57284,1.49606,0.68891,1.28585,0.000490857,0.000490857,0.000490857
20,44350,1.41587,0.82655,1.25775,0.87729,0.9038,0.94307,0.57194,1.47999,0.69988,1.28534,0.000462571,0.000462571,0.000462571
21,46467.1,1.39298,0.79589,1.2579,0.88724,0.90127,0.94073,0.57759,1.48028,0.68853,1.2883,0.000434286,0.000434286,0.000434286
22,48573,1.40724,0.78183,1.25755,0.89693,0.888,0.93801,0.57116,1.48154,0.6847,1.2819,0.000406,0.000406,0.000406
23,50677.6,1.39765,0.77629,1.25491,0.89085,0.88734,0.94115,0.5839,1.47054,0.67177,1.27457,0.000377714,0.000377714,0.000377714
24,52781,1.39693,0.79977,1.24652,0.88826,0.90837,0.94681,0.58275,1.47319,0.66913,1.2783,0.000349429,0.000349429,0.000349429
25,54884.1,1.37346,0.76027,1.24215,0.89975,0.89456,0.9463,0.58355,1.47429,0.66552,1.27786,0.000321143,0.000321143,0.000321143
26,56986.1,1.34163,0.63407,1.23516,0.88863,0.90659,0.94179,0.57927,1.47025,0.66291,1.27687,0.000292857,0.000292857,0.000292857
27,59086.7,1.32607,0.62122,1.22755,0.9039,0.88305,0.9392,0.5848,1.47013,0.66509,1.27426,0.000264571,0.000264571,0.000264571
28,61185.8,1.32771,0.61353,1.22495,0.90475,0.87636,0.94176,0.58774,1.4622,0.65886,1.26997,0.000236286,0.000236286,0.000236286
29,63280.2,1.30891,0.60832,1.21936,0.89665,0.89436,0.94146,0.58737,1.463,0.65778,1.2743,0.000208,0.000208,0.000208
30,65373,1.30486,0.6047,1.21336,0.89771,0.88596,0.94055,0.59046,1.46532,0.65951,1.27847,0.000179714,0.000179714,0.000179714
31,67466.9,1.29237,0.5956,1.21082,0.89349,0.88847,0.94013,0.58971,1.46189,0.65799,1.27777,0.000151429,0.000151429,0.000151429
32,69561.2,1.28803,0.59239,1.2127,0.90778,0.88245,0.94092,0.59132,1.45687,0.65671,1.27472,0.000123143,0.000123143,0.000123143
33,71659.2,1.28085,0.58784,1.20387,0.91157,0.88136,0.94267,0.59249,1.45897,0.65292,1.27814,9.48571e-05,9.48571e-05,9.48571e-05
34,73751.5,1.2735,0.58326,1.19866,0.90883,0.88051,0.94352,0.59327,1.45759,0.6508,1.27516,6.65714e-05,6.65714e-05,6.65714e-05
35,75842.6,1.26732,0.57399,1.1974,0.9115,0.88117,0.94278,0.5912,1.45801,0.64905,1.27508,3.82857e-05,3.82857e-05,3.82857e-05
