epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2144.59,1.76293,2.00744,1.45703,0.83098,0.77122,0.81958,0.40586,1.54992,1.87295,1.238,0.00700086,0.000333238,0.000333238
2,4265.18,1.53746,1.15345,1.25579,0.87369,0.80659,0.86422,0.45222,1.48885,1.06918,1.17227,0.00398201,0.000647717,0.000647717
3,7807.42,1.49213,0.99217,1.20462,0.88729,0.83549,0.8909,0.48032,1.43923,0.87019,1.13228,0.000944295,0.000943338,0.000943338
4,12121.3,1.44735,0.93815,1.17923,0.90269,0.83627,0.89217,0.48354,1.45053,0.85407,1.13934,0.000915143,0.000915143,0.000915143
5,15955.3,1.4176,0.90162,1.15927,0.90301,0.84025,0.90138,0.48128,1.45722,0.77859,1.13537,0.000886857,0.000886857,0.000886857
6,18111.6,1.39765,0.82833,1.13956,0.90078,0.86144,0.91437,0.52129,1.36146,0.73338,1.08905,0.000858571,0.000858571,0.000858571
7,20558.6,1.37792,0.81796,1.13912,0.91464,0.86188,0.91953,0.51589,1.3825,0.69191,1.10509,0.000830286,0.000830286,0.000830286
8,23212.3,1.36737,0.82055,1.13391,0.91671,0.8685,0.92465,0.52815,1.34709,0.6805,1.0892,0.000802,0.000802,0.000802
9,25332.5,1.35494,0.77096,1.12085,0.91764,0.87178,0.92147,0.53324,1.33292,0.66979,1.07469,0.000773714,0.000773714,0.000773714
10,27466,1.33475,0.75567,1.11615,0.91802,0.87964,0.92506,0.53695,1.32333,0.64457,1.06973,0.000745429,0.000745429,0.000745429
11,30144.9,1.3381,0.74,1.10657,0.91984,0.87684,0.93083,0.54331,1.29387,0.63197,1.05706,0.000717143,0.000717143,0.000717143
12,32253.5,1.32331,0.72762,1.10452,0.92056,0.87206,0.92765,0.54079,1.317,0.62582,1.06693,0.000688857,0.000688857,0.000688857
13,34351.8,1.31656,0.72199,1.10148,0.91813,0.87798,0.92808,0.54737,1.30545,0.6388,1.0606,0.000660571,0.000660571,0.000660571
14,36449.2,1.30827,0.71367,1.09693,0.92447,0.87531,0.93347,0.55512,1.28601,0.61205,1.05458,0.000632286,0.000632286,0.000632286
15,38549,1.31494,0.69569,1.09845,0.92253,0.88245,0.93546,0.55432,1.2993,0.60278,1.06025,0.000604,0.000604,0.000604
16,40653,1.29807,0.68591,1.09097,0.9199,0.88558,0.93412,0.55714,1.28652,0.61782,1.05582,0.000575714,0.000575714,0.000575714
17,42758.2,1.29254,0.68245,1.08415,0.91753,0.88763,0.9355,0.56449,1.26435,0.59818,1.04321,0.000547429,0.000547429,0.000547429
18,44858.8,1.28485,0.68385,1.07664,0.92417,0.88682,0.93736,0.56398,1.27187,0.59171,1.04094,0.000519143,0.000519143,0.000519143
19,46962.9,1.28869,0.66772,1.07747,0.92461,0.89264,0.93792,0.56605,1.27181,0.60084,1.04531,0.000490857,0.000490857,0.000490857
20,49070.9,1.27404,0.66641,1.08201,0.92786,0.8882,0.94075,0.56643,1.26661,0.57308,1.04485,0.000462571,0.000462571,0.000462571
21,51172,1.27048,0.6562,1.08047,0.92701,0.88789,0.93727,0.56534,1.26238,0.59037,1.04555,0.000434286,0.000434286,0.000434286
22,53268.1,1.26145,0.65546,1.07603,0.92497,0.89156,0.93743,0.5615,1.27097,0.57816,1.04735,0.000406,0.000406,0.000406
23,55362.1,1.2577,0.65293,1.07189,0.93,0.8907,0.94104,0.57247,1.2519,0.58518,1.03897,0.000377714,0.000377714,0.000377714
24,57460.1,1.25014,0.65713,1.07096,0.92834,0.89191,0.94316,0.5725,1.26226,0.56384,1.03994,0.000349429,0.000349429,0.000349429
25,59553,1.25581,0.63121,1.07023,0.92647,0.89534,0.94358,0.57147,1.25785,0.56037,1.03807,0.000321143,0.000321143,0.000321143
26,61643,1.19753,0.58712,1.05166,0.92651,0.8902,0.94231,0.57015,1.25471,0.5724,1.04224,0.000292857,0.000292857,0.000292857
27,63730.5,1.18015,0.57896,1.04131,0.92829,0.88812,0.94295,0.57206,1.24559,0.57075,1.03898,0.000264571,0.000264571,0.000264571
28,65819.5,1.18083,0.56888,1.03865,0.92978,0.89391,0.94193,0.57118,1.2465,0.56932,1.03293,0.000236286,0.000236286,0.000236286
29,67903.2,1.17004,0.55483,1.02862,0.93044,0.89038,0.94328,0.57584,1.23798,0.5675,1.02456,0.000208,0.000208,0.000208
30,69988.9,1.16768,0.54973,1.02512,0.92774,0.88681,0.94137,0.57574,1.2391,0.58849,1.03305,0.000179714,0.000179714,0.000179714
31,72071.9,1.16609,0.54042,1.03127,0.92828,0.88936,0.94291,0.57736,1.24444,0.58103,1.03351,0.000151429,0.000151429,0.000151429
32,74154.3,1.16201,0.54627,1.03272,0.92969,0.89036,0.94284,0.57651,1.23945,0.57684,1.03375,0.000123143,0.000123143,0.000123143
33,76236,1.15093,0.53099,1.02402,0.93097,0.89029,0.94347,0.57721,1.2381,0.56602,1.03493,9.48571e-05,9.48571e-05,9.48571e-05
34,78316.9,1.14182,0.53784,1.02229,0.92973,0.89229,0.9441,0.57691,1.23802,0.56538,1.03426,6.65714e-05,6.65714e-05,6.65714e-05
35,80401.8,1.13041,0.5313,1.01381,0.92665,0.89322,0.94344,0.57694,1.23883,0.57066,1.03358,3.82857e-05,3.82857e-05,3.82857e-05
